frame,timestamp,person_id,x,y,z
-1,2025/11/28-20:22:1:416,koko,-1740.0,-480.0,10.0
-1,2025/11/28-20:22:1:416,Amelia,-1570.0,-850.0,10.0
-1,2025/11/28-20:22:1:416,ZakariYoung,-1580.0,-790.0,10.0
-1,2025/11/28-20:22:1:416,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:1:463,koko,-1740.0,-480.0,10.0
-1,2025/11/28-20:22:1:463,Amelia,-1570.0,-850.0,10.0
-1,2025/11/28-20:22:1:463,ZakariYoung,-1580.0,-790.0,10.0
-1,2025/11/28-20:22:1:463,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:1:931,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:1:931,Amelia,-1579.637187,-850.500576,10.0
-1,2025/11/28-20:22:1:931,ZakariYoung,-1588.16149,-790.120222,12.0
-1,2025/11/28-20:22:1:931,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:2:90,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:2:90,Amelia,-1589.051748,-851.007036,10.0
-1,2025/11/28-20:22:2:90,ZakariYoung,-1596.155192,-790.242526,12.0
-1,2025/11/28-20:22:2:90,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:2:255,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:2:255,Amelia,-1600.620051,-851.647247,10.0
-1,2025/11/28-20:22:2:255,ZakariYoung,-1605.998862,-790.397792,12.0
-1,2025/11/28-20:22:2:255,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:2:273,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:2:273,Amelia,-1601.994506,-851.724524,10.0
-1,2025/11/28-20:22:2:273,ZakariYoung,-1607.169851,-790.416577,12.0
-1,2025/11/28-20:22:2:273,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:2:297,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:2:297,Amelia,-1603.861994,-851.829922,10.0
-1,2025/11/28-20:22:2:297,ZakariYoung,-1608.761361,-790.442212,12.0
-1,2025/11/28-20:22:2:297,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:2:376,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:2:376,Amelia,-1610.527127,-852.209805,10.0
-1,2025/11/28-20:22:2:376,ZakariYoung,-1614.445945,-790.534739,12.0
-1,2025/11/28-20:22:2:376,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:2:659,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:2:659,Amelia,-1637.429616,-853.801169,10.0
-1,2025/11/28-20:22:2:659,ZakariYoung,-1637.459651,-790.924369,12.0
-1,2025/11/28-20:22:2:659,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:2:978,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:2:978,Amelia,-1667.631992,-855.701466,10.0
-1,2025/11/28-20:22:2:978,ZakariYoung,-1663.431496,-791.393468,12.0
-1,2025/11/28-20:22:2:978,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:132,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:132,Amelia,-1686.035496,-856.923436,10.0
-1,2025/11/28-20:22:3:132,ZakariYoung,-1679.333304,-791.697145,12.0
-1,2025/11/28-20:22:3:132,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:233,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:233,Amelia,-1699.430659,-857.846562,10.0
-1,2025/11/28-20:22:3:233,ZakariYoung,-1690.947682,-791.927566,12.0
-1,2025/11/28-20:22:3:233,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:331,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:331,Amelia,-1707.790477,-858.438247,10.0
-1,2025/11/28-20:22:3:331,ZakariYoung,-1698.214634,-792.075706,12.0
-1,2025/11/28-20:22:3:331,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:418,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:418,Amelia,-1725.240753,-859.715479,10.0
-1,2025/11/28-20:22:3:418,ZakariYoung,-1713.433762,-792.396672,12.0
-1,2025/11/28-20:22:3:418,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:429,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:429,Amelia,-1728.154013,-859.934668,10.0
-1,2025/11/28-20:22:3:429,ZakariYoung,-1715.981636,-792.451916,12.0
-1,2025/11/28-20:22:3:429,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:455,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:455,Amelia,-1731.356937,-860.177745,10.0
-1,2025/11/28-20:22:3:455,ZakariYoung,-1718.785321,-792.513236,12.0
-1,2025/11/28-20:22:3:455,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:548,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:548,Amelia,-1740.032042,-860.847599,10.0
-1,2025/11/28-20:22:3:548,ZakariYoung,-1726.392759,-792.682518,12.0
-1,2025/11/28-20:22:3:548,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:736,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:736,Amelia,-1765.76665,-862.945823,10.0
-1,2025/11/28-20:22:3:736,ZakariYoung,-1749.092246,-793.215638,12.0
-1,2025/11/28-20:22:3:736,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:748,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:748,Amelia,-1767.529291,-863.096402,10.0
-1,2025/11/28-20:22:3:748,ZakariYoung,-1750.655162,-793.254064,12.0
-1,2025/11/28-20:22:3:748,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:774,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:3:774,Amelia,-1770.649994,-863.365356,10.0
-1,2025/11/28-20:22:3:774,ZakariYoung,-1753.424607,-793.322756,12.0
-1,2025/11/28-20:22:3:774,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:3:855,koko,-1829.0,-439.0,10.0
